id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	'7 middagh street'	-0.3253	-0.0613	17	3	3	1	2003
2	'at the auction of the ruby slippers'	-0.4008	0.5129	20	8	8	1	2000
3	'august blue'	0.1371	-1.1269	12	6	6	1	2002
4	'bardon bus'	-1.0434	0.5735	18	6	6	1	2003
5	'click'	-0.6932	0.4566	34	5	5	1	2005
6	'cofiant'	-0.136	-0.3463	21	2	2	1	2003
7	'compensation'	0.4483	0.1583	25	6	6	1	2010
8	'der erzähler'	0.0103	0.3729	9	6	6	1	2007
9	'entropy'	0.1935	-0.5619	30	5	5	1	2011
10	'fifty-seven views of fujiyama'	0.1429	-1.1309	12	6	6	1	2002
11	'her habit'	-0.4806	-0.3842	22	6	6	1	2001
12	'his carpets flowered'	-0.596	-0.139	2	3	3	1	2005
13	'kaddish'	0.28	0.0884	25	4	4	1	2001
14	'la faustienne'	-0.9177	-0.2661	19	7	7	1	2009
15	'max ferber'	0.0802	-0.0885	25	3	3	1	2007
16	'memories of west street and lepke'	-0.2571	0.3728	13	5	5	1	2000
17	'paean to place'	-0.555	0.2931	6	3	3	1	2005
18	"'please, thank you'"	-0.5217	0.2296	6	7	7	1	2015
19	'prelude to our age: a negro history poem'	-0.0002	0.1975	1	6	6	1	2011
20	'sea oak'	-0.68	-0.466	10	3	3	1	2012
21	'so much water so close to home'	-0.6063	-1.0092	33	3	3	1	2002
22	'somebody blew up america'	-0.4053	0.093	2	4	4	1	2004
23	'the balloon'	-0.3986	0.4994	20	8	8	1	2000
24	'the burglar of babylon'	-0.1567	0.8873	28	5	5	1	2001
25	'the death mask of pancho villa'	-0.5129	0.2324	6	7	7	1	2015
26	'the practice of outside'	0.0553	0.9583	16	3	3	1	2010
27	'the rejection of closure'	-0.9095	-0.2655	19	7	7	1	2009
28	'the untrustworthy speaker'	-0.4854	-0.3786	22	6	6	1	2001
29	'the yoke'	-0.4861	-0.3892	22	6	6	1	2001
30	'this window makes me feel'	0.4185	0.2446	1	6	6	1	2020
31	'thorow'	0.3279	-0.2545	15	6	8	2	2010
32	'west wind'	-0.9148	-1.1602	37	3	3	1	2006
33	'what he saw'	-0.4086	0.5092	20	8	8	1	2000
34	(periodical)	0.5941	-0.1923	15	9	10	2	2009
35	1100-1499 middle english period	-0.6096	0.1276	5	8	8	1	2018
36	1500-1599	-0.4845	0.3996	5	6	6	1	2018
37	1600-1699	0.1487	-1.1278	12	6	6	1	2002
38	1700-1799	-0.1561	-0.8853	14	4	4	1	2019
44	1970s	0.2326	-0.1403	22	9	10	2	2012
46	abjection	-0.1803	-0.684	10	3	3	1	2003
47	absence	-0.2808	-0.3085	9	4	4	1	2005
48	absent woman	0.6187	0.3618	8	2	2	1	2012
49	academia	3.0531	1.6277	42	4	4	1	2005
50	academic culture	0.7501	-0.4499	7	5	5	1	2016
51	accident	-0.0584	0.2811	9	10	10	2	2011
