id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
57	aesthetics	0.5451	-0.7973	1	9	15	10	2010.5
86	american literature	0.0026	0.2041	3	38	247	391	2009.2046
163	canadian literature	0.2186	0.3538	6	11	17	18	2009.5
245	death	-0.9618	-0.4714	3	7	10	8	2011
276	drama	0.8682	-0.4343	2	12	28	16	2008.625
293	empathy	0.0949	-0.8524	1	9	16	6	2015
300	english literature	-0.1886	-0.214	1	30	87	93	2010.4946
312	ethics	-0.005	-0.6686	1	13	29	16	2012.75
313	ethnic identity	0.4847	0.0859	1	9	20	13	2010.1538
363	french literature	0.5596	-0.5122	2	10	19	8	2004.875
370	genre conventions	-0.7344	0.3987	3	10	17	12	2010.25
373	german literature	-0.4735	-0.534	1	9	14	10	2011.3
379	globalization	-0.4921	-0.1572	1	13	22	13	2011.5385
413	human body	0.9635	0.0236	2	9	17	9	2011.4444
449	indian literature	0.0206	-0.1826	5	13	22	13	2012.4615
463	intertextuality	-0.4479	0.1026	5	6	10	7	2011.4286
468	irish literature	0.4497	-0.1144	2	20	36	28	2008.5357
498	language poetry	0.0213	0.7929	6	7	15	10	2009.6
552	memory	0.4814	0.474	2	12	22	10	2008.3
575	modernism	-0.4973	0.322	5	8	15	13	2008.4615
605	narrative technique	-0.5077	-0.8939	3	8	13	8	2007.125
612	national identity	0.7696	0.394	2	9	20	12	2011.1667
630	new york city	-0.3392	1.014	4	9	17	6	2013
657	otherness	0.2786	-0.3464	1	11	17	7	2010.2857
702	poetics	0.3563	0.8826	6	10	33	23	2009.6087
720	politics	0.1875	-0.0252	1	10	15	11	2009.9091
732	postcolonialism	-0.1244	0.0649	5	16	23	12	2011.8333
735	postmodernism	1.2808	-0.0553	2	9	24	16	2007.375
775	racism	-0.5135	0.8265	4	7	18	11	2017.0909
779	reader	-0.2656	-0.6247	1	11	21	12	2010.6667
796	representation	-0.7639	0.0767	3	7	13	10	2006.3
823	science fiction novel	-1.1461	-0.1482	3	5	10	9	2015.6667
840	september 11 terrorist attacks (2001)	-0.3445	0.6337	4	7	18	10	2013.7
880	south african literature	-0.2786	-0.3888	1	17	31	23	2009.7391
906	subjectivity	-0.7776	-0.6068	3	9	20	14	2009.5
942	the past	-0.1302	0.4268	4	14	21	10	2010
956	time	0.7679	-0.2072	2	13	20	8	2013.75
968	trauma	0.7938	0.1568	2	13	28	14	2010.5
981	united states	-0.1531	1.0016	4	6	14	10	2011.5
