id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
139	american literature	0.0699	-0.2	2	32	579	309	2011.4854
148	animal-human relations	0.613	0.4407	1	15	82	36	2016.3889
150	animals	0.7608	-0.0426	1	14	43	22	2010.9091
170	australian literature	0.2528	-0.1909	2	17	41	14	2013.0714
214	canadian literature	-0.6445	-0.7605	4	12	58	24	2014.1667
217	capitalism	-0.3741	0.7761	5	13	41	12	2016.5833
235	chinese literature	0.6989	0.6748	1	12	47	22	2014.1364
240	climate change	-1.0483	0.1323	4	13	66	18	2017
304	drama	-0.3438	-0.1071	3	13	37	13	2010.5385
314	ecocritical approach	-0.1296	0.1299	1	32	896	387	2015.677
315	ecocriticism	0.3749	-0.5397	3	12	34	50	2008.22
317	ecofeminist approach	0.9085	0.5274	1	8	17	10	2011.7
318	ecology	-0.1535	-0.3081	2	19	58	31	2008.7097
335	english language literature	-0.0203	0.6927	5	15	56	19	2014.5789
336	english literature	0.1695	0.083	1	26	202	87	2013.2644
337	environment	0.9035	0.1792	1	11	24	19	2007.0526
339	environmental crisis	-0.5539	0.2237	4	29	284	85	2018.0706
341	environmental movement	0.7402	-0.6364	3	12	38	23	2008.4783
392	fiction	0.3572	0.2495	1	22	110	37	2013.2973
412	food	0.3829	0.7898	1	9	26	11	2015.2727
424	french literature	0.5421	0.0055	1	12	40	14	2015.6429
439	german literature	0.0377	-0.4375	3	15	51	17	2010.9412
488	human body	-0.2291	-0.5796	2	13	39	12	2012.5833
507	indian literature	-0.1305	0.9746	5	7	24	10	2011.7
553	landscape	-0.6626	-0.0499	2	15	60	27	2011.1852
676	nature	-0.0425	0.3327	1	33	823	365	2015.2247
679	nature literature	0.5955	-0.7192	3	11	29	15	2008.6667
680	nature poetry	0.1861	-0.7856	2	10	22	10	2009.2
761	postapocalyptic world	-1.0748	-0.3226	4	12	53	13	2016.8462
797	racism	-0.5926	0.5618	2	11	49	16	2016.5
843	science	-0.5149	-0.3111	3	12	26	11	2011.4545
844	science fiction novel	-0.9314	-0.1115	4	17	73	17	2018
884	social injustice	-0.9962	0.4812	4	10	35	10	2017.5
980	united states	0.8611	-0.2971	3	10	31	15	2011.2667
1031	wilderness	-0.0119	-0.8554	2	16	62	26	2012.2308
