id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
97	african american novelists	-0.3324	-0.9566	4	14	35	16	2013.375
125	american literature	0.0777	-0.2361	4	40	294	369	2009.5718
134	animal-human relations	-0.8693	-0.2082	5	9	20	14	2015.3571
170	autobiography	0.2046	-0.576	6	6	14	13	2005.9231
195	black-white relations	-0.3563	-0.652	4	14	31	12	2015.9167
212	british empire	-0.1032	-0.7699	4	12	21	10	2015
225	capitalism	-0.3799	0.2878	1	17	40	21	2012.9524
275	colonialism	-0.1941	-0.1335	1	11	21	12	2010.25
361	disability	0.8177	-0.3317	2	13	29	15	2017.6667
388	ecocritical approach	-0.5594	0.5946	1	14	55	23	2014.6522
407	english literature	0.0604	-0.0868	3	34	150	169	2010.1479
410	environmental crisis	-0.5859	0.7814	1	12	28	11	2018.8182
416	ethics	-0.9309	0.0706	5	10	23	17	2008.6471
469	film	0.3214	0.5577	3	16	42	20	2011.45
494	french literature	0.5643	0.5732	2	12	27	21	2007.8095
505	genre conventions	0.9381	0.1104	3	8	17	11	2004.3636
510	german literature	-1.0674	-0.249	5	8	13	11	2012
514	globalization	-0.2173	0.625	1	14	27	15	2009.4
561	human body	1.0006	0.3856	2	7	15	12	2009.5833
587	indian literature	-0.1429	0.7877	1	15	29	18	2010.8889
614	irish literature	0.4483	0.2844	2	20	39	38	2008.2368
704	male homosexuality	0.747	-0.0458	2	13	18	11	2007.2727
720	masculinity	0.7761	-0.6394	3	10	24	13	2006.3077
764	modernism	0.1699	0.7884	3	16	56	40	2006.05
767	modernist novel	0.6091	-0.1923	2	14	44	22	2014.7273
802	narrative technique	0.8051	0.7027	2	11	25	17	2006.8824
809	national identity	-0.6505	-0.4803	4	10	22	15	2013.1333
820	nature	-0.6542	0.406	1	19	51	21	2016.0952
826	neoliberalism	0.1186	0.2357	1	13	20	11	2014.0909
904	poetry	-0.9147	0.43	5	13	28	15	2012.2667
917	politics	-0.0279	0.4386	1	14	25	18	2012.4444
927	postcolonial approach	-0.2012	0.3124	1	19	27	16	2011.625
933	postcolonialism	-0.3349	0.8303	1	12	16	11	2009.9091
967	race	0.3024	-0.8828	6	16	37	23	2008.087
972	racism	-0.1587	-0.5196	4	22	59	30	2014.6333
1057	sexuality	-0.3791	-0.4055	5	11	29	19	2009.7368
1067	slavery	-0.526	-0.863	4	9	20	12	2009.3333
1071	social class	0.5426	-0.8413	3	8	20	15	2003.7333
1087	south african literature	-0.3975	-0.0148	5	19	28	35	2008.3429
1190	united states	0.7029	0.2953	2	11	18	13	2010.0769
1214	violence	0.3755	-0.3841	3	14	29	16	2009.125
1243	women novelists	0.4013	-0.0291	2	16	36	21	2013.4762
