id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
97	african american novelists	0.8721	0.0924	3	13	34	16	2013.375
125	american literature	0.1767	-0.1941	3	38	271	369	2009.5718
134	animal-human relations	-0.9773	0.1736	2	9	20	14	2015.3571
195	black-white relations	0.8783	-0.3162	3	12	28	12	2015.9167
223	canadian literature	-0.8783	0.3307	2	8	10	13	2007.4615
225	capitalism	0.3685	0.6761	1	16	39	21	2012.9524
275	colonialism	0.389	0.2852	1	11	21	12	2010.25
361	disability	0.1219	-0.9537	5	12	28	15	2017.6667
388	ecocritical approach	0.5006	0.8926	1	13	50	23	2014.6522
407	english literature	-0.0286	-0.2268	2	31	133	169	2010.1479
410	environmental crisis	0.7463	0.7345	1	11	25	11	2018.8182
416	ethics	-0.7681	0.5924	2	10	22	17	2008.6471
494	french literature	-0.4449	-0.6491	4	12	27	21	2007.8095
505	genre conventions	-0.7579	0.0365	2	10	20	11	2004.3636
514	globalization	-0.1784	0.7686	1	14	29	15	2009.4
561	human body	-0.6625	-0.2295	5	7	15	12	2009.5833
587	indian literature	-0.1716	0.6179	1	18	36	18	2010.8889
605	intertextuality	-0.4952	0.4648	2	15	22	9	2009.4444
614	irish literature	-0.2864	-0.4578	4	18	36	38	2008.2368
720	masculinity	0.6596	-0.5172	3	9	22	13	2006.3077
764	modernism	-0.4779	-0.1819	4	15	49	40	2006.05
767	modernist novel	-0.1006	-0.9094	5	13	42	22	2014.7273
802	narrative technique	-0.7083	-0.4969	4	12	26	17	2006.8824
809	national identity	0.6761	0.341	1	9	20	15	2013.1333
820	nature	0.5642	0.624	1	18	49	21	2016.0952
826	neoliberalism	-0.1042	0.2064	1	14	21	11	2014.0909
917	politics	-0.0995	-0.0273	4	14	25	18	2012.4444
927	postcolonial approach	0.0997	0.4535	1	16	24	16	2011.625
932	postcolonial novel	0.0679	0.7525	1	13	19	8	2009.75
933	postcolonialism	-0.6341	0.3844	2	15	20	11	2009.9091
967	race	0.4703	-0.8474	3	13	34	23	2008.087
972	racism	0.6191	-0.1289	3	20	57	30	2014.6333
1057	sexuality	-0.9443	-0.3117	2	9	27	19	2009.7368
1067	slavery	1.1182	-0.031	3	9	20	12	2009.3333
1071	social class	0.9066	-0.6587	3	7	19	15	2003.7333
1087	south african literature	-0.4167	0.2107	2	16	26	35	2008.3429
1160	the self	-0.5334	-0.3996	4	14	20	9	2008.7778
1190	united states	0.2173	-0.563	5	9	14	13	2010.0769
1214	violence	0.2862	-0.0007	3	15	30	16	2009.125
1243	women novelists	-0.0702	-0.5369	5	18	38	21	2013.4762
