id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
297	aesthetics	-0.1219	0.2894	3	35	70	31	2012.4194
315	african american writers	-0.7607	-0.847	1	25	74	29	2012.4483
321	african literature	0.2643	-1.1851	4	16	45	17	2014.8235
355	american literature	-0.0195	-0.0967	1	80	789	508	2011.685
413	archives	0.6035	0.0546	3	24	39	18	2013.2222
468	autobiography	-0.3025	-0.4714	1	40	89	35	2009.2857
505	black identity	-0.3105	-0.8127	1	34	70	23	2017.3478
540	british and irish literatures	0.5084	0.6323	3	34	88	36	2010.7222
573	capitalism	0.1847	-0.4186	5	29	51	19	2014.3684
619	chinese literature	-0.3941	-0.177	1	21	29	20	2011.25
670	colonialism	0.1088	-0.5346	1	44	99	49	2012.7347
732	cosmopolitanism	0.1535	-1.0478	4	19	39	15	2015.8
755	criticism	-0.5207	0.4105	2	53	135	68	2010.1324
775	cultural identity	0.2635	-0.8451	4	26	58	26	2015.2308
807	death	0.1513	1.0043	2	23	39	18	2012.0556
847	digital technology	1.0394	-0.2074	5	21	62	47	2015.7234
885	drama	-0.0684	0.6279	2	53	189	74	2011.5405
956	english literature	0.0771	0.296	2	73	453	276	2011.3297
982	ethics	0.0351	0.4745	3	45	87	36	2013.8889
986	ethnic identity	-0.0001	-0.6553	1	24	40	17	2012
1003	european literature	0.6672	0.5922	3	28	55	30	2011.8667
1060	feminism	0.5298	-0.0862	3	24	53	25	2011.48
1093	folk literature	0.8976	0.3556	7	27	61	17	2012.7647
1097	folk poetry	0.9107	0.5114	7	20	44	12	2012.3333
1121	french language literature	-0.3181	-0.2832	1	31	79	40	2013.85
1124	french literature	-0.2767	0.6584	2	54	201	126	2009.3889
1139	gender	-0.3498	0.0339	2	32	56	27	2011.5556
1146	genre conventions	-0.7068	0.1951	6	32	64	21	2016.3333
1156	german literature	0.1717	0.5092	2	44	108	76	2010.4605
1166	globalization	0.4273	-0.6776	4	49	149	86	2010.2209
1224	historical context	-0.8883	0.1607	6	18	34	18	2013.5
1261	human body	-0.354	0.3981	2	25	38	16	2011.4375
1283	identity	-0.8402	-0.0181	6	28	47	22	2014.0455
1300	imperialism	-0.0006	-0.379	4	24	46	17	2013.2353
1310	indian literature	-0.0507	-0.8561	4	21	35	17	2014
1357	irish literature	-0.2229	0.8279	2	29	58	26	2011.9231
1366	italian literature	-0.665	0.5813	6	21	40	25	2012.56
1409	knowledge	0.2385	0.7257	2	22	39	18	2013.1111
1423	language	-0.1654	0.0116	3	32	56	24	2013.2083
1442	letters	0.3422	1.036	2	22	45	23	2011.3043
1472	literary history	1.0075	-0.4755	5	21	55	30	2012.4667
1484	literary studies	0.3905	-0.469	4	38	120	85	2010.3294
1486	literary tradition	-0.769	-0.4234	1	19	41	19	2012.1579
1508	lyric poetry	-0.5095	0.6324	6	30	61	21	2012.8571
1539	martinique literature	-0.8856	-0.3337	1	22	36	16	2011.6875
1575	memory	0.361	-0.2014	3	21	35	16	2009.25
1586	metaphor	0.0741	0.8633	2	19	30	15	2013.6667
1622	modernism	-0.1786	0.4656	2	36	75	30	2012.6333
1627	modernity	0.3933	0.383	3	24	39	20	2012.95
1692	national identity	-0.5286	-0.3513	1	29	46	23	2011.2174
1732	nigerian literature	-0.4926	-0.5248	1	19	29	16	2012.875
1816	pedagogical approach	0.8248	-0.1316	7	34	74	37	2011.7568
1877	poetics	-0.7914	0.432	1	28	62	25	2015.2
1909	politics	-1.0587	0.267	1	24	51	25	2011.52
1929	postcolonialism	-0.1129	-0.502	4	42	104	47	2013.3617
1949	print culture	-0.244	0.1922	1	23	42	22	2012.6818
2005	queer theory	0.278	0.3382	3	21	36	28	2011.4286
2009	race	-0.3789	-0.6716	1	33	74	41	2011.0488
2021	racism	-0.8586	-0.6063	1	20	42	25	2013.96
2028	reader	0.3103	-0.0268	5	64	242	111	2015.9009
2064	representation	-0.2052	-0.7161	1	22	38	22	2009.5455
2081	rhetoric	0.3851	0.1547	3	22	36	17	2012.3529
2095	romantic period	0.7928	0.0395	5	17	32	13	2013.6154
2109	russian literature	-0.4554	0.845	2	24	45	27	2012.1111
2218	slavery	-0.7006	-0.6271	1	25	48	17	2009.8235
2273	south african literature	0.5462	-0.2955	3	20	27	18	2011.1111
2294	spanish literature	-0.1061	-0.2068	4	25	41	31	2010.4839
2329	subjectivity	-0.689	0.7707	6	24	47	16	2013.125
2334	suffering	-0.2488	1.0163	2	22	44	14	2013.7143
2367	teaching of literature	1.5165	-0.006	7	8	32	62	2002.0323
2409	the indigenous	0.8136	-0.3322	5	20	48	23	2016.4348
2419	the past	-0.5804	-0.6992	1	21	38	12	2014.1667
2427	the self	-0.6636	-0.1383	1	25	39	14	2012.5714
2448	time	0.7595	0.3072	5	27	67	27	2014.963
2456	tragedy	-0.0119	1.2202	2	21	55	24	2013.3333
2466	translation	-0.4603	0.2065	2	25	43	20	2012.4
2470	transnationalism	0.5758	-0.5693	4	26	43	22	2011.5909
2491	united states	1.1319	0.0893	7	38	106	58	2007.1034
2524	victorian period	0.195	-0.1222	2	20	42	18	2012.9444
2537	violence	0.2098	0.105	3	44	89	38	2014.3947
2551	war	0.0039	0.0973	3	24	54	34	2009.1176
2593	work	-0.5475	-0.0225	6	26	54	33	2012
2600	world literature	0.6702	-0.7602	4	23	49	31	2015.8065
